Format Version,1.23,Take Name,astro_optitrack_cuk_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-21 06.43.07.396 PM,Capture Start Frame,746709,Total Frames in Take,2851,Total Exported Frames,2851,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270
,ID,"462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
107,0.892000,-9.090911,144.346207,210.522964,,,
108,0.900000,-9.075405,144.350067,210.528381,,,
109,0.908000,-9.038301,144.351089,210.526474,,,
110,0.917000,-9.063007,144.365692,210.538010,,,
111,0.925000,-9.092670,144.369110,210.544052,,,
112,0.933000,-9.096308,144.345474,210.523712,,,
113,0.942000,-9.098406,144.323761,210.516846,,,
114,0.950000,-9.077175,144.329453,210.537369,,,
115,0.958000,-9.060977,144.328598,210.546631,,,
116,0.967000,-9.065642,144.290848,210.554138,,,
117,0.975000,-9.119351,144.312881,210.556808,,,
118,0.983000,-9.060306,144.332626,210.545349,,,
119,0.992000,-9.072323,144.358398,210.524490,,,
120,1.000000,-9.101553,144.342758,210.520462,,,
121,1.008000,-9.070560,144.328629,210.517883,,,
122,1.017000,-9.099950,144.334167,210.533020,,,
123,1.025000,-9.062716,144.333740,210.514343,,,
124,1.033000,-9.061457,144.341217,210.518204,,,
125,1.042000,-9.069105,144.333481,210.526352,,,
126,1.050000,-9.071599,144.341080,210.524261,,,
127,1.058000,-9.077724,144.342773,210.543610,,,
128,1.067000,-9.095904,144.331314,210.537262,,,
129,1.075000,-9.042252,144.338989,210.546982,,,
130,1.083000,-9.056597,144.306290,210.521484,,,
131,1.092000,-9.066691,144.328781,210.527649,,,
132,1.100000,-9.076481,144.337997,210.535477,,,
133,1.108000,-9.095377,144.332397,210.538910,,,
134,1.117000,-9.030169,144.354782,210.576050,,,
135,1.125000,-9.024355,144.337418,210.524094,,,
136,1.133000,-9.038567,144.348282,210.533325,,,
137,1.142000,-9.076354,144.324310,210.535751,,,
138,1.150000,-9.118715,144.325363,210.524689,,,
139,1.158000,-9.101889,144.358002,210.533447,,,
140,1.167000,-9.069917,144.335129,210.524155,,,
141,1.175000,-9.048973,144.345215,210.557266,,,
142,1.183000,-9.054461,144.337723,210.542709,,,
143,1.192000,-9.075330,144.356033,210.550522,,,
144,1.200000,-9.063170,144.320786,210.532440,,,
145,1.208000,-9.060932,144.335739,210.557159,,,
146,1.217000,-9.014258,144.324005,210.541016,,,
147,1.225000,-9.061410,144.342972,210.544830,,,
148,1.233000,-9.103474,144.354095,210.538010,,,
149,1.242000,-9.074812,144.340500,210.557602,,,
150,1.250000,-9.072959,144.366241,210.539261,,,
151,1.258000,-9.042957,144.355331,210.559143,,,
152,1.267000,-9.021301,144.345886,210.546509,,,
153,1.275000,-9.057114,144.349136,210.536072,,,
154,1.283000,-9.092217,144.336807,210.554688,,,
155,1.292000,-9.095362,144.337158,210.550247,,,
156,1.300000,-9.081898,144.346237,210.522400,,,
157,1.308000,-9.078885,144.338776,210.520798,,,
158,1.317000,-9.047421,144.334381,210.528000,,,
159,1.325000,-9.080263,144.321960,210.530899,,,
160,1.333000,-9.090334,144.326599,210.516266,,,
161,1.342000,-9.085671,144.318573,210.517883,,,
162,1.350000,-9.077327,144.328064,210.522232,,,
163,1.358000,-9.060345,144.348541,210.542358,,,
164,1.367000,-9.075578,144.350098,210.529068,,,
165,1.375000,-9.071856,144.346970,210.525742,,,
166,1.383000,-9.108087,144.353073,210.523911,,,
167,1.392000,-9.090973,144.354523,210.533691,,,
168,1.400000,-9.075352,144.335251,210.535599,,,
169,1.408000,-9.090446,144.343216,210.545212,,,
170,1.417000,-9.053744,144.312943,210.529160,,,
171,1.425000,-9.081071,144.329788,210.545746,,,
172,1.433000,-9.089630,144.339630,210.559708,,,
173,1.442000,-9.088442,144.349060,210.557999,,,
174,1.450000,-9.094893,144.312408,210.525833,,,
175,1.458000,-9.059913,144.317139,210.536713,,,
176,1.467000,-9.046361,144.313477,210.538239,,,
177,1.475000,-9.082140,144.305725,210.536591,,,
178,1.483000,-9.100244,144.323914,210.554184,,,
179,1.492000,-9.086415,144.292465,210.515213,,,
180,1.500000,-9.072924,144.288818,210.521408,,,
181,1.508000,-9.089381,144.312408,210.522232,,,
182,1.517000,-9.085643,144.319397,210.535263,,,
183,1.525000,-9.056972,144.309921,210.544464,,,
184,1.533000,-9.072803,144.312485,210.541245,,,
185,1.542000,-9.100945,144.323471,210.535706,,,
186,1.550000,-9.055556,144.329514,210.560699,,,
187,1.558000,-9.083517,144.340393,210.550888,,,
188,1.567000,-9.052254,144.358795,210.590515,,,
189,1.575000,-9.062411,144.325958,210.552872,,,
190,1.583000,-9.082388,144.298050,210.518570,,,
191,1.592000,-9.119806,144.308594,210.515274,,,
192,1.600000,-9.075579,144.307343,210.547195,,,
193,1.608000,-9.020322,144.345718,210.566544,,,
194,1.617000,-9.013075,144.349152,210.550262,,,
195,1.625000,-9.059973,144.333069,210.546249,,,
196,1.633000,-9.117535,144.324631,210.545609,,,
197,1.642000,-9.098848,144.339554,210.541992,,,
198,1.650000,-9.051115,144.324478,210.551300,,,
199,1.658000,-9.030231,144.329391,210.556427,,,
200,1.667000,-9.053424,144.309830,210.537109,,,
201,1.675000,-9.064406,144.335175,210.534714,,,
202,1.683000,-9.059546,144.350769,210.549591,,,
203,1.692000,-9.078570,144.356094,210.567245,,,
204,1.700000,-9.070014,144.318588,210.558594,,,
205,1.708000,-9.083528,144.323364,210.541565,,,
206,1.717000,-9.099734,144.336716,210.508209,,,
207,1.725000,-9.048476,144.344849,210.554703,,,
208,1.733000,-9.068117,144.353638,210.565720,,,
209,1.742000,-9.074708,144.334457,210.528030,,,
210,1.750000,-9.082047,144.333481,210.522888,,,
211,1.758000,-9.059274,144.346603,210.542709,,,
212,1.767000,-9.036984,144.342422,210.531937,,,
213,1.775000,-9.059309,144.344803,210.545776,,,
214,1.783000,-9.046498,144.332443,210.546631,,,
215,1.792000,-9.061165,144.338104,210.555206,,,
216,1.800000,-9.089728,144.338898,210.518448,,,
217,1.808000,-9.084848,144.357544,210.529251,,,
218,1.817000,-9.034746,144.335983,210.547150,,,
219,1.825000,-9.044933,144.350876,210.562531,,,
220,1.833000,-9.065400,144.355789,210.544159,,,
221,1.842000,-9.066728,144.320267,210.536057,,,
222,1.850000,-9.096848,144.340881,210.549850,,,
223,1.858000,-9.051627,144.332062,210.549362,,,
224,1.867000,-9.067341,144.345825,210.563614,,,
225,1.875000,-9.082903,144.347290,210.532089,,,
226,1.883000,-9.075210,144.354477,210.527039,,,
227,1.892000,-9.038403,144.376511,210.531036,,,
228,1.900000,-9.030142,144.329544,210.532669,,,
229,1.908000,-9.055491,144.339066,210.544708,,,
230,1.917000,-9.075047,144.330368,210.552872,,,
231,1.925000,-9.080844,144.322891,210.531616,,,
232,1.933000,-9.078122,144.365555,210.565598,,,
233,1.942000,-9.044822,144.304108,210.538452,,,
234,1.950000,-9.122724,144.309418,210.505280,,,
235,1.958000,-9.110794,144.283081,210.504593,,,
236,1.967000,-9.092365,144.301529,210.511520,,,
237,1.975000,-9.087497,144.340973,210.548080,,,
238,1.983000,-9.051821,144.335342,210.544617,,,
239,1.992000,-9.067250,144.311356,210.523148,,,
240,2.000000,-9.111454,144.323303,210.519989,,,
