time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.002175,-0.191820,-0.049102,0.135529,-0.039239,0.084878,0.203056,0.075000,1.000000
0.022305,-0.191820,-0.049102,0.135529,-0.039239,0.084878,0.203056,0.075000,1.000000
0.055455,-0.191769,-0.049095,0.136196,-0.039239,0.084878,0.203012,0.075000,1.000000
0.089035,-0.191225,-0.049020,0.141811,-0.039239,0.084878,0.202555,0.075000,1.000000
0.120643,-0.189681,-0.048793,0.161467,-0.039239,0.084878,0.201248,0.075000,1.000000
0.153855,-0.186553,-0.048260,0.195038,-0.033606,0.089762,0.206017,0.075000,1.000000
0.187012,-0.183032,-0.047530,0.234340,-0.033606,0.089762,0.202922,0.075000,1.000000
0.220624,-0.181409,-0.047142,0.254983,-0.033606,0.089762,0.201467,0.075000,1.000000
0.253708,-0.178284,-0.046298,0.297894,-0.027974,0.094638,0.206049,0.075000,1.000000
0.287519,-0.175372,-0.045372,0.339987,-0.027974,0.094638,0.203295,0.075000,1.000000
0.320396,-0.174002,-0.044887,0.360464,-0.027974,0.094638,0.201968,0.075000,0.968994
0.353624,-0.171206,-0.043807,0.400309,-0.022345,0.099505,0.206635,0.075000,0.866199
0.387058,-0.168430,-0.042597,0.441382,-0.022345,0.099505,0.203798,0.075000,0.795459
0.420672,-0.167013,-0.041927,0.460364,-0.022345,0.099505,0.202316,0.075000,0.762669
0.453637,-0.164222,-0.040516,0.496389,-0.016718,0.104362,0.206754,0.075000,0.668389
0.487040,-0.161529,-0.039030,0.528871,-0.016718,0.104362,0.203793,0.075000,0.610807
0.520518,-0.160222,-0.038266,0.544584,-0.016718,0.104362,0.202327,0.075000,0.582023
0.553614,-0.157615,-0.036672,0.572180,-0.011093,0.109210,0.206762,0.075000,0.506538
0.589964,-0.155116,-0.035037,0.598129,-0.011093,0.109210,0.203838,0.075000,0.458554
0.620339,-0.153824,-0.034157,0.610088,-0.011093,0.109210,0.202302,0.075000,0.436480
0.654832,-0.151447,-0.032479,0.632003,-0.005470,0.114049,0.206833,0.075000,0.373863
0.687300,-0.150124,-0.031511,0.644312,-0.005470,0.114049,0.205213,0.075000,0.350137
0.720448,-0.148325,-0.030147,0.660883,-0.005470,0.114049,0.202978,0.075000,0.317342
0.754625,-0.146245,-0.028517,0.678714,-0.005470,0.114049,0.200356,0.075000,0.281414
0.787330,-0.145022,-0.027532,0.689782,0.000151,0.118878,0.206182,0.075000,0.241751
0.820405,-0.143104,-0.025936,0.703806,0.000151,0.118878,0.203698,0.075000,0.213293
0.853926,-0.142015,-0.025012,0.711127,0.000151,0.118878,0.202276,0.075000,0.198271
0.887194,-0.140963,-0.024106,0.718177,0.000151,0.118878,0.200892,0.075000,0.183517
0.925109,-0.140963,-0.024106,0.718177,0.000151,0.118878,0.200892,0.075000,0.183517
0.980081,-0.140963,-0.024106,0.718177,0.000151,0.118878,0.200892,0.075000,0.183517
0.987906,-0.134688,-0.018458,0.749830,0.011385,0.128504,0.207207,0.075000,0.093125
1.020631,-0.132549,-0.016460,0.757796,0.011385,0.128504,0.204282,0.075000,0.076270
1.053689,-0.130497,-0.014511,0.765842,0.011385,0.128504,0.201454,0.075000,0.058397
1.088090,-0.129379,-0.013436,0.768064,0.016998,0.133301,0.207263,0.075000,0.044769
1.121612,-0.127005,-0.011138,0.771787,0.016998,0.133301,0.203959,0.075000,0.037073
1.154173,-0.125050,-0.009235,0.774017,0.016998,0.133301,0.201231,0.075000,0.032527
1.187375,-0.122863,-0.007095,0.775617,0.022609,0.138086,0.205522,0.075000,0.021361
1.220860,-0.121782,-0.006035,0.776691,0.022609,0.138086,0.204008,0.075000,0.019049
1.254393,-0.119761,-0.004047,0.778172,0.022609,0.138086,0.201174,0.075000,0.015895
1.287017,-0.117644,-0.001960,0.779105,0.028217,0.142861,0.205544,0.075000,0.006601
1.320636,-0.116573,-0.000902,0.779566,0.028217,0.142861,0.204038,0.075000,0.005570
1.353753,-0.114400,0.001245,0.779674,0.028217,0.142861,0.200984,0.075000,0.005471
1.390176,-0.112278,0.003344,0.779917,0.033822,0.147623,0.205332,0.075000,-0.001923
1.420770,-0.111155,0.004455,0.779648,0.033822,0.147623,0.203753,0.075000,-0.001292
1.454313,-0.110076,0.005522,0.779918,0.033822,0.147623,0.202236,0.075000,-0.001978
1.487435,-0.106937,0.008628,0.780322,0.039424,0.152374,0.205145,0.075000,-0.009603
1.520437,-0.105829,0.009725,0.780051,0.039424,0.152374,0.203585,0.075000,-0.009085
1.553811,-0.103702,0.011829,0.779972,0.039424,0.152374,0.200594,0.075000,-0.009162
1.587382,-0.102628,0.012892,0.779999,0.045024,0.157112,0.206399,0.075000,-0.015403
1.620378,-0.100515,0.014982,0.779523,0.045024,0.157112,0.203427,0.075000,-0.014689
1.653674,-0.098374,0.017098,0.778903,0.045024,0.157112,0.200417,0.075000,-0.013583
1.687365,-0.097267,0.018191,0.778492,0.050621,0.161837,0.206167,0.075000,-0.018529
1.725125,-0.096030,0.019411,0.778753,0.050621,0.161837,0.204430,0.075000,-0.019483
1.755224,-0.093017,0.022381,0.777402,0.050621,0.161837,0.200199,0.075000,-0.016917
1.787035,-0.090888,0.024476,0.776740,0.056214,0.166550,0.204510,0.075000,-0.021338
1.821623,-0.089829,0.025517,0.776337,0.056214,0.166550,0.203024,0.075000,-0.020659
1.853865,-0.087676,0.027630,0.775333,0.056214,0.166550,0.200009,0.075000,-0.018769
1.887008,-0.086660,0.028626,0.774902,0.061805,0.171250,0.205872,0.075000,-0.023236
1.921185,-0.085587,0.029677,0.774175,0.061805,0.171250,0.204370,0.075000,-0.021801
1.953975,-0.085587,0.029677,0.774175,0.061805,0.171250,0.204370,0.075000,-0.021801
1.987355,-0.085587,0.029677,0.774175,0.061805,0.171250,0.204370,0.075000,-0.021801
2.057877,-0.084273,0.030961,0.773621,0.061805,0.171250,0.202533,0.075000,-0.020830
2.087213,-0.075719,0.039287,0.768992,0.072977,0.180608,0.205140,0.075000,-0.021980
2.120775,-0.073890,0.041057,0.768571,0.072977,0.180608,0.202594,0.075000,-0.021494
2.153676,-0.071723,0.043151,0.767625,0.078558,0.185266,0.206836,0.075000,-0.024527
2.187245,-0.070439,0.044391,0.767791,0.078558,0.185266,0.205051,0.075000,-0.025361
2.220783,-0.068487,0.046275,0.767220,0.078558,0.185266,0.202338,0.075000,-0.024630
2.253630,-0.066288,0.048393,0.765890,0.084135,0.189910,0.206529,0.075000,-0.026609
2.287283,-0.065218,0.049422,0.765425,0.084135,0.189910,0.205045,0.075000,-0.025860
2.320355,-0.063057,0.051499,0.764474,0.084135,0.189910,0.202047,0.075000,-0.024279
2.353678,-0.060790,0.053670,0.762660,0.089710,0.194540,0.206141,0.075000,-0.024986
2.388823,-0.059693,0.054719,0.762226,0.089710,0.194540,0.204624,0.075000,-0.024298
2.420711,-0.057605,0.056712,0.761400,0.089710,0.194540,0.201738,0.075000,-0.022950
2.456984,-0.055527,0.058692,0.761725,0.095280,0.199154,0.206089,0.075000,-0.028706
2.490290,-0.054247,0.059914,0.761494,0.095280,0.199154,0.204319,0.075000,-0.028640
2.520588,-0.052246,0.061820,0.760291,0.095280,0.199154,0.201556,0.075000,-0.026437
2.554364,-0.049963,0.063988,0.758050,0.100848,0.203753,0.205616,0.075000,-0.025888
2.587317,-0.048634,0.065247,0.757326,0.100848,0.203753,0.203786,0.075000,-0.024581
2.623555,-0.046675,0.067098,0.756788,0.100848,0.203753,0.201090,0.075000,-0.023903
2.653764,-0.044590,0.069068,0.756424,0.106411,0.208337,0.205419,0.075000,-0.027794
2.687269,-0.043542,0.070056,0.756155,0.106411,0.208337,0.203979,0.075000,-0.027529
2.720578,-0.041101,0.072357,0.754267,0.106411,0.208337,0.200625,0.075000,-0.023738
2.754049,-0.039130,0.074209,0.753799,0.111971,0.212905,0.205106,0.075000,-0.027247
2.787394,-0.038011,0.075259,0.753140,0.111971,0.212905,0.203571,0.075000,-0.026042
2.820740,-0.035863,0.077273,0.752118,0.111971,0.212905,0.200627,0.075000,-0.024265
2.853675,-0.034745,0.078319,0.751225,0.117527,0.217457,0.206268,0.075000,-0.026335
2.887292,-0.034745,0.078319,0.751225,0.117527,0.217457,0.206268,0.075000,-0.026335
2.920715,-0.034745,0.078319,0.751225,0.117527,0.217457,0.206268,0.075000,-0.026335
2.978110,-0.034745,0.078319,0.751225,0.117527,0.217457,0.206268,0.075000,-0.026335
2.989691,-0.027085,0.085455,0.749030,0.123079,0.221993,0.202958,0.075000,-0.027399
3.023500,-0.024815,0.087564,0.747393,0.128628,0.226513,0.207006,0.075000,-0.027834
3.053658,-0.022541,0.089669,0.745211,0.128628,0.226513,0.203907,0.075000,-0.023320
3.087003,-0.020365,0.091677,0.744434,0.128628,0.226513,0.200947,0.075000,-0.022076
3.120599,-0.019201,0.092749,0.743671,0.134172,0.231015,0.206496,0.075000,-0.024276
3.153751,-0.017016,0.094759,0.743763,0.134172,0.231015,0.203528,0.075000,-0.025217
3.187072,-0.014847,0.096755,0.743575,0.134172,0.231015,0.200580,0.075000,-0.025495
3.220539,-0.013737,0.097776,0.742849,0.139712,0.235501,0.206191,0.075000,-0.027644
3.253793,-0.011491,0.099838,0.742362,0.139712,0.235501,0.203142,0.075000,-0.027278
