time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001463,-4.761712,2.229346,0.185461,-4.650712,2.351383,0.164967,0.075000,1.000000
0.028938,-4.761712,2.229346,0.185461,-4.650712,2.351383,0.164967,0.075000,1.000000
0.062295,-4.761399,2.229405,0.189428,-4.650712,2.351383,0.164713,0.075000,1.000000
0.095563,-4.759657,2.229747,0.206713,-4.650712,2.351383,0.163293,0.075000,1.000000
0.128939,-4.758433,2.230004,0.219785,-4.650712,2.351383,0.162287,0.075000,1.000000
0.162244,-4.755733,2.230627,0.251444,-4.650712,2.351383,0.160036,0.075000,1.000000
0.195561,-4.752736,2.231425,0.289222,-4.650712,2.351383,0.157477,0.075000,1.000000
0.229120,-4.751247,2.231869,0.309141,-4.650712,2.351383,0.156176,0.075000,1.000000
0.262389,-4.748349,2.232823,0.350669,-4.650712,2.351383,0.153589,0.075000,1.000000
0.295642,-4.745599,2.233858,0.393334,-4.650712,2.351383,0.151049,0.075000,1.000000
0.328985,-4.744213,2.234433,0.414198,-4.639646,2.363334,0.165981,0.075000,1.000000
0.362315,-4.741517,2.235648,0.455567,-4.639646,2.363334,0.163344,0.075000,1.000000
0.395593,-4.738870,2.236979,0.496241,-4.639646,2.363334,0.160658,0.075000,1.000000
0.429009,-4.737535,2.237702,0.516365,-4.639646,2.363334,0.159266,0.075000,1.000000
0.462331,-4.735002,2.239170,0.556494,-4.639646,2.363334,0.156555,0.075000,1.000000
0.495652,-4.732391,2.240832,0.596451,-4.639646,2.363334,0.153650,0.075000,1.000000
0.528926,-4.731075,2.241725,0.616362,-4.639646,2.363334,0.152145,0.075000,1.000000
0.562280,-4.728510,2.243577,0.656913,-4.628590,2.375212,0.165263,0.075000,0.791243
0.595755,-4.727282,2.244524,0.677378,-4.628590,2.375212,0.163767,0.075000,0.745333
0.629088,-4.724936,2.246451,0.718112,-4.628590,2.375212,0.160816,0.075000,0.649040
0.662416,-4.722562,2.248561,0.755802,-4.628590,2.375212,0.157706,0.075000,0.557140
0.695600,-4.720299,2.250730,0.788084,-4.628590,2.375212,0.154617,0.075000,0.476080
0.729059,-4.719186,2.251849,0.803131,-4.628590,2.375212,0.153056,0.075000,0.437183
0.762465,-4.717055,2.254081,0.826946,-4.617544,2.387012,0.166052,0.075000,0.304362
0.795568,-4.715102,2.256226,0.848557,-4.617544,2.387012,0.163164,0.075000,0.248997
0.828933,-4.714184,2.257268,0.858331,-4.617544,2.387012,0.161781,0.075000,0.223155
0.862275,-4.712513,2.259216,0.873572,-4.617544,2.387012,0.159220,0.075000,0.182463
0.895697,-4.711540,2.260377,0.880380,-4.617544,2.387012,0.157708,0.075000,0.164427
0.929038,-4.709835,2.262452,0.889913,-4.617544,2.387012,0.155025,0.075000,0.139311
0.962353,-4.708340,2.264304,0.897767,-4.617544,2.387012,0.152648,0.075000,0.117887
0.995644,-4.707363,2.265531,0.901713,-4.617544,2.387012,0.151080,0.075000,0.107295
1.028960,-4.705502,2.267891,0.907414,-4.606510,2.398727,0.164066,0.075000,0.047731
1.062280,-4.704002,2.269815,0.911366,-4.606510,2.398727,0.161627,0.075000,0.036914
1.095585,-4.702694,2.271501,0.914367,-4.606510,2.398727,0.159493,0.075000,0.028498
1.128966,-4.701071,2.273611,0.917125,-4.606510,2.398727,0.156831,0.075000,0.020641
1.162246,-4.699164,2.276104,0.918870,-4.606510,2.398727,0.153692,0.075000,0.015791
1.195651,-4.698201,2.277365,0.919683,-4.606510,2.398727,0.152105,0.075000,0.013451
1.229013,-4.696226,2.279958,0.920664,-4.595488,2.410352,0.164775,0.075000,-0.023233
1.262326,-4.694565,2.282142,0.920963,-4.595488,2.410352,0.162031,0.075000,-0.024953
1.295571,-4.692772,2.284503,0.921633,-4.595488,2.410352,0.159066,0.075000,-0.028006
1.328949,-4.691881,2.285677,0.921687,-4.595488,2.410352,0.157592,0.075000,-0.028703
1.362291,-4.690085,2.288044,0.921650,-4.595488,2.410352,0.154621,0.075000,-0.029697
1.395525,-4.688216,2.290507,0.921218,-4.595488,2.410352,0.151529,0.075000,-0.029486
