time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001405,-4.615135,2.873092,2.084047,-4.874831,3.026140,0.301439,0.282599,2.494129
0.033332,-4.615135,2.873092,2.084047,-4.874831,3.026140,0.301439,0.282599,2.494129
0.066919,-4.615135,2.873092,2.084047,-4.874831,3.026140,0.301439,0.282599,2.494129
0.099843,-4.615487,2.873717,2.089796,-4.874831,3.026140,0.300819,0.282018,2.479598
0.133571,-4.616978,2.876297,2.115012,-4.886410,3.033515,0.311947,0.292450,2.298428
0.166698,-4.620081,2.881294,2.164158,-4.886410,3.033515,0.306761,0.287588,2.162908
0.200050,-4.621940,2.884052,2.192146,-4.886410,3.033515,0.303782,0.284795,2.081046
0.233515,-4.626348,2.890012,2.253596,-4.897881,3.040902,0.310641,0.291226,1.794612
0.266720,-4.631827,2.896548,2.319266,-4.897881,3.040902,0.302693,0.283774,1.583289
0.300051,-4.634850,2.899803,2.352786,-4.909239,3.048300,0.311994,0.292495,1.387464
0.333639,-4.641670,2.906432,2.420735,-4.909239,3.048300,0.302853,0.283925,1.145226
0.366557,-4.649561,2.913160,2.487054,-4.920481,3.055711,0.306135,0.287001,0.829807
0.400102,-4.653855,2.916456,2.518239,-4.920481,3.055711,0.300802,0.282002,0.705915
0.433426,-4.663031,2.922849,2.574679,-4.931602,3.063133,0.303002,0.284064,0.423026
0.466591,-4.672499,2.928734,2.622786,-4.942598,3.070568,0.305074,0.286006,0.173365
0.500111,-4.677302,2.931477,2.642722,-4.953464,3.078015,0.312632,0.293093,0.052887
0.533626,-4.686939,2.936624,2.670030,-4.953464,3.078015,0.301707,0.282850,-0.080460
0.566562,-4.696687,2.941549,2.683635,-4.964197,3.085476,0.303770,0.284785,-0.175964
0.600040,-4.701623,2.943982,2.687385,-4.974792,3.092949,0.311147,0.291701,-0.217064
0.633382,-4.711632,2.948859,2.688738,-4.974792,3.092949,0.300025,0.281273,-0.240368
0.666583,-4.721932,2.953884,2.683853,-4.985246,3.100435,0.301349,0.282515,-0.249419
0.700052,-4.727167,2.956463,2.680741,-4.995554,3.107935,0.308180,0.288919,-0.257662
0.733453,-4.737694,2.961713,2.673665,-5.005713,3.115447,0.308979,0.289668,-0.256451
0.766631,-4.748441,2.967168,2.663775,-5.015719,3.122973,0.309374,0.290038,-0.242129
0.800047,-4.753877,2.969982,2.658628,-5.015719,3.122973,0.303261,0.284307,-0.226557
0.833662,-4.759305,2.972829,2.653491,-5.025568,3.130512,0.309451,0.290110,-0.225649
0.866438,-4.770180,2.978638,2.643512,-5.035257,3.138064,0.309326,0.289993,-0.210353
0.899795,-4.781717,2.984952,2.632336,-5.044783,3.145629,0.308254,0.288989,-0.190009
0.933530,-4.786195,2.987452,2.627717,-5.044783,3.145629,0.303129,0.284184,-0.173647
0.966956,-4.786195,2.987452,2.627717,-5.044783,3.145629,0.303129,0.284184,-0.173647
1.000044,-4.807353,2.999615,2.607732,-5.063329,3.160798,0.302495,0.283589,-0.139299
1.033597,-4.816610,3.005110,2.600846,-5.072343,3.168401,0.303419,0.284456,-0.136007
1.066582,-4.826398,3.011010,2.594258,-5.081181,3.176016,0.303548,0.284576,-0.135273
1.100048,-4.831208,3.013941,2.591010,-5.089839,3.183644,0.309337,0.290003,-0.145983
1.133718,-4.840802,3.019855,2.584660,-5.098314,3.191283,0.309354,0.290019,-0.147425
1.166575,-4.850413,3.025856,2.579580,-5.106604,3.198934,0.309175,0.289852,-0.155885
1.200287,-4.855118,3.028819,2.576801,-5.106604,3.198934,0.303618,0.284642,-0.147919
1.233568,-4.864706,3.034913,2.570807,-5.114705,3.206595,0.303273,0.284318,-0.153190
1.266719,-4.874188,3.041019,2.565111,-5.122615,3.214267,0.302872,0.283943,-0.160846
1.300347,-4.878993,3.044143,2.562567,-5.130333,3.221949,0.307874,0.288632,-0.178629
1.333698,-4.888558,3.050418,2.556381,-5.137854,3.229640,0.307033,0.287843,-0.186076
1.366603,-4.898058,3.056732,2.550005,-5.145177,3.237341,0.306083,0.286953,-0.193774
1.400080,-4.902815,3.059928,2.546604,-5.145177,3.237341,0.300357,0.281585,-0.184262
1.433595,-4.912362,3.066410,2.540303,-5.159219,3.252765,0.309301,0.289969,-0.219840
1.466646,-4.921708,3.072844,2.532937,-5.165934,3.260488,0.307989,0.288739,-0.226229
1.500375,-4.926355,3.076083,2.528982,-5.165934,3.260488,0.302331,0.283435,-0.215176
1.533653,-4.935609,3.082614,2.521232,-5.172443,3.268218,0.300897,0.282091,-0.221033
1.566911,-4.944814,3.089216,2.513011,-5.184834,3.283692,0.308919,0.289611,-0.254206
1.600597,-4.949409,3.092556,2.509017,-5.184834,3.283692,0.303246,0.284293,-0.244071
1.633450,-4.958593,3.099321,2.499726,-5.190713,3.291435,0.301310,0.282478,-0.246357
1.666558,-4.967641,3.106115,2.489770,-5.201831,3.306928,0.308497,0.289216,-0.276994
1.700363,-4.972130,3.109540,2.484830,-5.201831,3.306928,0.302860,0.283932,-0.262977
1.733616,-4.980985,3.116403,2.474639,-5.207067,3.314676,0.300708,0.281914,-0.264289
1.766602,-4.989899,3.123453,2.464072,-5.216887,3.330171,0.307012,0.287824,-0.298699
1.800292,-4.994313,3.127005,2.458634,-5.216887,3.330171,0.301357,0.282522,-0.282994
1.833237,-5.003142,3.134229,2.447026,-5.225833,3.345657,0.307071,0.287879,-0.316762
1.866911,-5.003142,3.134229,2.447026,-5.225833,3.345657,0.307071,0.287879,-0.316762
1.900262,-5.016745,3.145689,2.429842,-5.233897,3.361123,0.305887,0.286769,-0.341391
1.933493,-5.024789,3.152665,2.418899,-5.237598,3.368845,0.303350,0.284391,-0.348631
1.966751,-5.024789,3.152665,2.418899,-5.237598,3.368845,0.303350,0.284391,-0.348631
2.000312,-5.038318,3.164746,2.398396,-5.244334,3.384262,0.301048,0.282233,-0.367946
2.033565,-5.046030,3.171878,2.386213,-5.250183,3.399633,0.305860,0.286744,-0.414452
2.066604,-5.054230,3.179648,2.372206,-5.252774,3.407297,0.302066,0.283187,-0.417609
2.100332,-5.058930,3.184199,2.364330,-5.255144,3.414945,0.302892,0.283961,-0.439368
2.133346,-5.066431,3.191628,2.350815,-5.259220,3.430186,0.306720,0.287550,-0.489855
2.166830,-5.071828,3.197083,2.340331,-5.260927,3.437776,0.306091,0.286960,-0.506830
2.200311,-5.079719,3.205286,2.324050,-5.262414,3.445343,0.301670,0.282815,-0.509850
2.233374,-5.086202,3.212247,2.309236,-5.264732,3.460401,0.305702,0.286596,-0.562010
2.267054,-5.091435,3.217996,2.295979,-5.265566,3.467889,0.304578,0.285542,-0.572909
2.300432,-5.099107,3.226729,2.275023,-5.266585,3.482773,0.305953,0.286831,-0.611120
2.333688,-5.105316,3.234103,2.256441,-5.266774,3.490164,0.302714,0.283795,-0.608288
2.366976,-5.110303,3.240200,2.240903,-5.266751,3.497521,0.301147,0.282326,-0.615245
2.400524,-5.116216,3.247731,2.221534,-5.266074,3.512117,0.303903,0.284909,-0.664681
2.433571,-5.123044,3.256813,2.196719,-5.264567,3.526545,0.304605,0.285567,-0.700459
2.467029,-5.127493,3.262967,2.179628,-5.263508,3.533691,0.302972,0.284036,-0.706830
2.500175,-5.133935,3.272318,2.153890,-5.260786,3.547836,0.303317,0.284360,-0.746912
2.533589,-5.139053,3.280166,2.131746,-5.257275,3.561769,0.305413,0.286325,-0.799315
2.566559,-5.145023,3.289794,2.104699,-5.252994,3.575473,0.305402,0.286315,-0.843308
2.600299,-5.147885,3.294635,2.090696,-5.250570,3.582234,0.305380,0.286294,-0.864707
2.633621,-5.153337,3.304324,2.060094,-5.245170,3.595559,0.305371,0.286285,-0.897982
2.666772,-5.158490,3.314167,2.028101,-5.239052,3.608609,0.305265,0.286186,-0.929129
2.700322,-5.160992,3.319252,2.011537,-5.235730,3.615025,0.305070,0.286003,-0.944208
