time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001366,-4.610452,2.871806,2.506434,-4.910064,2.904943,0.301439,0.282599,2.494129
0.034223,-4.610452,2.871806,2.506434,-4.910064,2.904943,0.301439,0.282599,2.494129
0.066912,-4.610536,2.871868,2.507220,-4.910064,2.904943,0.301349,0.282514,2.492244
0.100528,-4.611393,2.872499,2.515923,-4.910064,2.904943,0.300428,0.281651,2.469873
0.134060,-4.614703,2.874849,2.551425,-4.923649,2.906923,0.310606,0.291194,2.258787
0.167144,-4.619745,2.878140,2.602567,-4.923649,2.906923,0.305264,0.286185,2.113377
0.200541,-4.622622,2.879861,2.630923,-4.923649,2.906923,0.302240,0.283350,2.028264
0.233678,-4.629165,2.883390,2.693114,-4.937139,2.908959,0.309034,0.289720,1.735502
0.266981,-4.636603,2.886834,2.758267,-4.937139,2.908959,0.301349,0.282515,1.517702
0.300536,-4.640546,2.888424,2.791699,-4.950533,2.911050,0.310811,0.291385,1.319939
0.333958,-4.649386,2.891478,2.857596,-4.950533,2.911050,0.301782,0.282921,1.080318
0.366795,-4.659188,2.894183,2.921382,-4.963824,2.913201,0.305229,0.286153,0.772577
0.400448,-4.664387,2.895347,2.951963,-4.977011,2.915412,0.313267,0.293688,0.599512
0.433883,-4.675204,2.897263,3.005926,-4.977011,2.915412,0.302352,0.283455,0.374723
0.467139,-4.686410,2.898676,3.049772,-4.990088,2.917686,0.304272,0.285255,0.144445
0.500235,-4.692034,2.899194,3.067594,-5.003052,2.920024,0.311715,0.292233,0.034283
0.533428,-4.703282,2.899955,3.090290,-5.003052,2.920024,0.300442,0.281664,-0.077624
0.566942,-4.714401,2.900491,3.102891,-5.015900,2.922429,0.302296,0.283403,-0.168351
0.600203,-4.719976,2.900707,3.105864,-5.028627,2.924902,0.309598,0.290248,-0.205859
0.633963,-4.731106,2.901098,3.106406,-5.041231,2.927445,0.311242,0.291790,-0.238793
0.666913,-4.742530,2.901506,3.103435,-5.053708,2.930060,0.312485,0.292955,-0.255947
0.700633,-4.748379,2.901730,3.100869,-5.053708,2.930060,0.306640,0.287475,-0.253263
0.733334,-4.760238,2.902232,3.093894,-5.066054,2.932748,0.307334,0.288126,-0.252488
0.766901,-4.772233,2.902829,3.085100,-5.078265,2.935510,0.307773,0.288537,-0.243069
0.800481,-4.778251,2.903169,3.080017,-5.078265,2.935510,0.301752,0.282892,-0.227628
0.833514,-4.790299,2.903943,3.069610,-5.090339,2.938349,0.302006,0.283131,-0.209478
0.867152,-4.802188,2.904831,3.058510,-5.102273,2.941265,0.302289,0.283396,-0.187231
0.900353,-4.808095,2.905323,3.053140,-5.114062,2.944261,0.308435,0.289158,-0.185386
0.933544,-4.813943,2.905841,3.047948,-5.114062,2.944261,0.302568,0.283658,-0.166924
0.967042,-4.819674,2.906379,3.043159,-5.125705,2.947336,0.308760,0.289462,-0.168097
1.000339,-4.837311,2.908197,3.029319,-5.137197,2.950493,0.302854,0.283926,-0.137889
1.033614,-4.842396,2.908770,3.025504,-5.148536,2.953733,0.309424,0.290085,-0.144143
1.071137,-4.848049,2.909429,3.021855,-5.148536,2.953733,0.303735,0.284752,-0.131581
1.100633,-4.865653,2.911610,3.011522,-5.170743,2.960464,0.308976,0.289665,-0.139372
1.133569,-4.876379,2.913030,3.005575,-5.181604,2.963958,0.309446,0.290105,-0.142066
1.166885,-4.887533,2.914573,2.999712,-5.192302,2.967538,0.309337,0.290004,-0.146363
1.200483,-4.893150,2.915375,2.996681,-5.192302,2.967538,0.303666,0.284687,-0.136914
1.233705,-4.904245,2.917011,2.990732,-5.202832,2.971205,0.303465,0.284499,-0.141765
1.266880,-4.915862,2.918795,2.984773,-5.213192,2.974960,0.302588,0.283677,-0.148090
1.300310,-4.920867,2.919586,2.982270,-5.223380,2.978803,0.308255,0.288989,-0.165328
1.333804,-4.932081,2.921404,2.976895,-5.233393,2.982735,0.307491,0.288273,-0.176097
1.366890,-4.943176,2.923264,2.971326,-5.243229,2.986757,0.306698,0.287529,-0.187090
1.400427,-4.948766,2.924225,2.968238,-5.243229,2.986757,0.301030,0.282216,-0.178824
1.433552,-4.960022,2.926215,2.961666,-5.262361,2.995069,0.310080,0.290700,-0.212739
1.466983,-4.971333,2.928287,2.956138,-5.271652,2.999361,0.308614,0.289326,-0.228012
1.500425,-4.976954,2.929342,2.952843,-5.271652,2.999361,0.302902,0.283970,-0.220397
1.533554,-4.988352,2.931539,2.945702,-5.280757,3.003742,0.301188,0.282363,-0.229983
1.567138,-4.999871,2.933848,2.937310,-5.298403,3.012777,0.308790,0.289490,-0.263126
1.600457,-5.005628,2.935041,2.932815,-5.298403,3.012777,0.302919,0.283986,-0.251195
1.633731,-5.017138,2.937506,2.923446,-5.306939,3.017429,0.300620,0.281831,-0.254112
1.667171,-5.028533,2.940055,2.913168,-5.323431,3.027003,0.307449,0.288234,-0.284242
1.700405,-5.034167,2.941365,2.908391,-5.323431,3.027003,0.301675,0.282820,-0.271513
1.733908,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.767095,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.800371,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.833822,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.867063,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.900450,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.933585,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
1.967138,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
2.000141,-5.045426,2.944068,2.898082,-5.339137,3.036934,0.308043,0.288791,-0.305230
2.033374,-5.127548,2.968134,2.807480,-5.405537,3.091739,0.304230,0.285216,-0.415035
2.071064,-5.127548,2.968134,2.807480,-5.405537,3.091739,0.304230,0.285216,-0.415035
2.100043,-5.145389,2.974454,2.787674,-5.416339,3.103672,0.300185,0.281423,-0.454516
2.133523,-5.154529,2.977858,2.776710,-5.426304,3.115903,0.304825,0.285773,-0.516211
2.167011,-5.165295,2.982011,2.762041,-5.430972,3.122126,0.300361,0.281588,-0.527203
2.200466,-5.170641,2.984144,2.754412,-5.435431,3.128418,0.301544,0.282697,-0.554539
2.233810,-5.181314,2.988547,2.737010,-5.443719,3.141203,0.303578,0.284605,-0.602856
2.266939,-5.191988,2.993173,2.717561,-5.451168,3.154240,0.305151,0.286079,-0.647029
2.300298,-5.197803,2.995797,2.705795,-5.454580,3.160848,0.305248,0.286170,-0.663747
2.333558,-5.207748,3.000496,2.683041,-5.457782,3.167513,0.300686,0.281893,-0.648465
2.367031,-5.214480,3.003819,2.666705,-5.463563,3.181003,0.305673,0.286569,-0.701345
2.400339,-5.223736,3.008642,2.643232,-5.466142,3.187823,0.301442,0.282602,-0.685397
2.433909,-5.233274,3.013909,2.617902,-5.470683,3.201601,0.302641,0.283726,-0.717543
2.467143,-5.239756,3.017652,2.600064,-5.472646,3.208553,0.301134,0.282313,-0.720291
2.500512,-5.248524,3.022997,2.575081,-5.475962,3.222570,0.302585,0.283673,-0.759053
2.533808,-5.257562,3.028833,2.547431,-5.478472,3.236718,0.303344,0.284385,-0.792061
2.567172,-5.266812,3.035173,2.518011,-5.480184,3.250973,0.303476,0.284509,-0.823913
2.600413,-5.272734,3.039433,2.498724,-5.480745,3.258133,0.301825,0.282961,-0.828914
2.633543,-5.280305,3.045178,2.472678,-5.481282,3.272502,0.303427,0.284462,-0.874918
2.667183,-5.289021,3.052150,2.441935,-5.481051,3.286913,0.303297,0.284341,-0.912324
2.700456,-5.293274,3.055730,2.426366,-5.480652,3.294126,0.303221,0.284270,-0.931484
2.733688,-5.301680,3.063153,2.393341,-5.479294,3.308551,0.302930,0.283997,-0.964499
2.766897,-5.309885,3.070900,2.359342,-5.477203,3.322950,0.302530,0.283622,-0.997234
2.800323,-5.313916,3.074906,2.341744,-5.475888,3.330131,0.302282,0.283389,-1.012382
2.833669,-5.322174,3.083539,2.303876,-5.472727,3.344437,0.301221,0.282395,-1.036613
2.867161,-5.329394,3.091686,2.269634,-5.468874,3.358645,0.301200,0.282375,-1.074003
2.900373,-5.333141,3.096145,2.250609,-5.466694,3.365702,0.300828,0.282026,-1.087207
2.933386,-5.340297,3.105177,2.210663,-5.461837,3.379706,0.300230,0.281465,-1.105326
2.966867,-5.347090,3.114454,2.169012,-5.453347,3.400375,0.305027,0.285963,-1.180409
3.000138,-5.350332,3.119211,2.147551,-5.450205,3.407160,0.304778,0.285729,-1.183727
3.033544,-5.353443,3.123992,2.125693,-5.446912,3.413887,0.304590,0.285553,-1.184931
3.066825,-5.362377,3.139188,2.054513,-5.436149,3.433673,0.303585,0.284611,-1.166103
3.100592,-5.365012,3.144203,2.031035,-5.432276,3.440125,0.303471,0.284504,-1.159223
3.133545,-5.369663,3.153854,1.986134,-5.424118,3.452790,0.303855,0.284864,-1.150157
3.166874,-5.374050,3.164103,1.938327,-5.415430,3.465111,0.303838,0.284848,-1.129899
3.200495,-5.374050,3.164103,1.938327,-5.415430,3.465111,0.303838,0.284848,-1.129899
3.233826,-5.374050,3.164103,1.938327,-5.415430,3.465111,0.303838,0.284848,-1.129899
3.266916,-5.383011,3.190961,1.825445,-5.391533,3.494207,0.303366,0.284406,-1.110643
3.300351,-5.384433,3.196423,1.803029,-5.386404,3.499704,0.303287,0.284331,-1.106984
