time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001509,-4.727937,2.237663,-0.219686,-4.286498,2.365797,0.459660,0.143644,0.523586
0.028381,-4.727937,2.237663,-0.219686,-4.286498,2.365797,0.459660,0.143644,0.523586
0.061488,-4.727839,2.237641,-0.219247,-4.286498,2.365797,0.459572,0.143616,0.523368
0.094658,-4.725752,2.237179,-0.211766,-4.286498,2.365797,0.457697,0.143030,0.520488
0.128347,-4.722635,2.236519,-0.198513,-4.286498,2.365797,0.454894,0.142154,0.514066
0.161646,-4.722635,2.236519,-0.198513,-4.286498,2.365797,0.454894,0.142154,0.514066
0.195024,-4.722635,2.236519,-0.198513,-4.286498,2.365797,0.454894,0.142154,0.514066
0.228736,-4.718600,2.235708,-0.184235,-4.286498,2.365797,0.451260,0.141019,0.508376
0.261435,-4.702355,2.233038,-0.130064,-4.262017,2.370474,0.461288,0.144153,0.454415
0.295071,-4.699341,2.232643,-0.119934,-4.262017,2.370474,0.458530,0.143290,0.449859
0.328437,-4.693373,2.231954,-0.099399,-4.262017,2.370474,0.453051,0.141579,0.440042
0.361415,-4.687628,2.231411,-0.078184,-4.249922,2.372623,0.459921,0.143725,0.413580
0.395131,-4.684725,2.231184,-0.067617,-4.249922,2.372623,0.457229,0.142884,0.407765
0.428087,-4.677929,2.230767,-0.042185,-4.249922,2.372623,0.450902,0.140907,0.392941
0.461298,-4.673110,2.230584,-0.025162,-4.237926,2.374641,0.458408,0.143252,0.368711
0.495109,-4.670205,2.230511,-0.015456,-4.237926,2.374641,0.455674,0.142398,0.363116
0.528341,-4.664415,2.230439,0.001903,-4.237926,2.374641,0.450208,0.140690,0.353723
0.561621,-4.661097,2.230445,0.011413,-4.226033,2.376526,0.458934,0.143417,0.334978
0.594846,-4.655936,2.230523,0.026468,-4.226033,2.376526,0.454019,0.141881,0.326424
0.628007,-4.650333,2.230690,0.040681,-4.214244,2.378276,0.460386,0.143871,0.306028
0.661297,-4.644590,2.230941,0.053217,-4.214244,2.378276,0.454869,0.142146,0.300224
0.695071,-4.641764,2.231091,0.059473,-4.214244,2.378276,0.452146,0.141296,0.297191
0.728342,-4.636136,2.231441,0.070939,-4.202562,2.379889,0.458282,0.143213,0.279358
0.761482,-4.630603,2.231850,0.083404,-4.202562,2.379889,0.452918,0.141537,0.272662
0.795036,-4.627828,2.232082,0.089688,-4.202562,2.379889,0.450219,0.140694,0.269175
0.828443,-4.622243,2.232597,0.101891,-4.190989,2.381362,0.456191,0.142560,0.250175
0.861503,-4.616634,2.233186,0.113194,-4.190989,2.381362,0.450699,0.140843,0.244056
0.894949,-4.616634,2.233186,0.113194,-4.190989,2.381362,0.450699,0.140843,0.244056
0.928362,-4.611022,2.233838,0.123514,-4.179528,2.382693,0.456448,0.142640,0.226932
0.961656,-4.611022,2.233838,0.123514,-4.179528,2.382693,0.456448,0.142640,0.226932
1.000293,-4.608157,2.234194,0.128142,-4.179528,2.382693,0.453624,0.141757,0.224775
1.028209,-4.594118,2.236136,0.150996,-4.168180,2.383881,0.450834,0.140886,0.201702
1.061296,-4.588590,2.236990,0.160347,-4.156948,2.384923,0.456289,0.142590,0.185205
1.094951,-4.585818,2.237438,0.164391,-4.156948,2.384923,0.453521,0.141725,0.183077
1.128376,-4.580230,2.238373,0.172663,-4.145833,2.385818,0.458737,0.143355,0.167792
1.161730,-4.580230,2.238373,0.172663,-4.145833,2.385818,0.458737,0.143355,0.167792
1.194745,-4.571887,2.239864,0.184759,-4.145833,2.385818,0.450360,0.140738,0.160730
1.228443,-4.566258,2.240924,0.191898,-4.134839,2.386565,0.455339,0.142293,0.146349
1.261433,-4.560666,2.242021,0.199040,-4.123967,2.387160,0.460186,0.143808,0.132043
1.294998,-4.557909,2.242577,0.202087,-4.123967,2.387160,0.457395,0.142936,0.130354
1.328378,-4.552385,2.243719,0.208631,-4.123967,2.387160,0.451794,0.141186,0.126390
1.361400,-4.546802,2.244907,0.213078,-4.113218,2.387604,0.456462,0.142644,0.114659
1.394838,-4.544042,2.245504,0.215620,-4.113218,2.387604,0.453653,0.141767,0.113297
1.428288,-4.538387,2.246751,0.221051,-4.102596,2.387895,0.458078,0.143149,0.100459
1.461413,-4.532764,2.248021,0.225840,-4.102596,2.387895,0.452337,0.141355,0.097738
1.495115,-4.530012,2.248653,0.228484,-4.092101,2.388031,0.459556,0.143611,0.086576
1.528498,-4.524408,2.249963,0.232863,-4.092101,2.388031,0.453819,0.141818,0.083952
1.561340,-4.518851,2.251287,0.236627,-4.081737,2.388011,0.457998,0.143124,0.072568
1.594829,-4.516093,2.251952,0.238302,-4.081737,2.388011,0.455168,0.142240,0.071637
1.628174,-4.510181,2.253395,0.242583,-4.071504,2.387835,0.458815,0.143380,0.059686
1.661497,-4.505149,2.254643,0.245223,-4.071504,2.387835,0.453639,0.141762,0.058142
1.694993,-4.502458,2.255317,0.246489,-4.071504,2.387835,0.450869,0.140897,0.057457
1.728000,-4.496461,2.256831,0.249133,-4.061405,2.387501,0.454256,0.141955,0.046928
1.761290,-4.491336,2.258138,0.251472,-4.051441,2.387009,0.458384,0.143245,0.036549
1.794658,-4.488031,2.258987,0.252659,-4.051441,2.387009,0.454974,0.142179,0.035795
1.828291,-4.482484,2.260421,0.254225,-4.041614,2.386358,0.458504,0.143283,0.026191
1.861513,-4.477367,2.261753,0.255901,-4.041614,2.386358,0.453218,0.141631,0.024952
1.894907,-4.474155,2.262593,0.256741,-4.031926,2.385546,0.459003,0.143439,0.015729
1.927927,-4.469045,2.263937,0.257873,-4.031926,2.385546,0.453720,0.141788,0.014847
1.965233,-4.465368,2.264907,0.258494,-4.022378,2.384575,0.458868,0.143396,0.005826
1.994555,-4.459939,2.266344,0.260075,-4.022378,2.384575,0.453253,0.141641,0.004224
2.028173,-4.455482,2.267531,0.260959,-4.012973,2.383443,0.457439,0.142950,-0.005215
2.061296,-4.449858,2.269034,0.262012,-4.012973,2.383443,0.451617,0.141130,-0.006520
2.094827,-4.446992,2.269803,0.262012,-4.003711,2.382150,0.457297,0.142905,-0.015081
2.128069,-4.441395,2.271304,0.262391,-4.003711,2.382150,0.451502,0.141094,-0.015891
2.161745,-4.441395,2.271304,0.262391,-4.003711,2.382150,0.451502,0.141094,-0.015891
2.194573,-4.433196,2.273508,0.262615,-3.994594,2.380697,0.451510,0.141097,-0.025384
2.228279,-4.427744,2.274972,0.262053,-3.985625,2.379082,0.454212,0.141941,-0.033886
2.261417,-4.422296,2.276432,0.261256,-3.976803,2.377306,0.456771,0.142741,-0.042219
2.294995,-4.419626,2.277146,0.260637,-3.976803,2.377306,0.454010,0.141878,-0.042053
2.327960,-4.414151,2.278606,0.260280,-3.968131,2.375370,0.456396,0.142624,-0.051079
2.361727,-4.408694,2.280057,0.258799,-3.968131,2.375370,0.450756,0.140861,-0.050719
2.395106,-4.405895,2.280798,0.258339,-3.959609,2.373273,0.455765,0.142427,-0.059235
2.428440,-4.400434,2.282240,0.256719,-3.959609,2.373273,0.450126,0.140664,-0.058928
2.461618,-4.394854,2.283703,0.255146,-3.951241,2.371016,0.452125,0.141289,-0.067204
2.495043,-4.392136,2.284412,0.254341,-3.943025,2.368600,0.456933,0.142792,-0.075482
2.528365,-4.386632,2.285840,0.252624,-3.943025,2.368600,0.451260,0.141019,-0.075488
2.561336,-4.381202,2.287238,0.250207,-3.934965,2.366025,0.453139,0.141606,-0.083175
2.595271,-4.378482,2.287933,0.248962,-3.934965,2.366025,0.450340,0.140731,-0.082832
2.628226,-4.373152,2.289287,0.247048,-3.927060,2.363291,0.452188,0.141309,-0.091284
2.661621,-4.367555,2.290694,0.244809,-3.919313,2.360401,0.453630,0.141759,-0.099652
2.695083,-4.364824,2.291377,0.243714,-3.919313,2.360401,0.450827,0.140883,-0.099685
2.728140,-4.359160,2.292781,0.240264,-3.911723,2.357354,0.452073,0.141273,-0.107044
2.761383,-4.353695,2.294117,0.237349,-3.904294,2.354153,0.453394,0.141686,-0.115081
2.794840,-4.351008,2.294767,0.235723,-3.904294,2.354153,0.450644,0.140826,-0.114695
2.828369,-4.345543,2.296075,0.232510,-3.897024,2.350797,0.451845,0.141202,-0.122694
2.861349,-4.340091,2.297362,0.228815,-3.889916,2.347288,0.452935,0.141542,-0.130356
2.894836,-4.337378,2.297994,0.226762,-3.889916,2.347288,0.450169,0.140678,-0.129698
2.927934,-4.334673,2.298618,0.224675,-3.882970,2.343629,0.453941,0.141857,-0.137714
2.961651,-4.329266,2.299848,0.220141,-3.876187,2.339819,0.454839,0.142137,-0.144845
2.995077,-4.323801,2.301064,0.215579,-3.869568,2.335862,0.455564,0.142364,-0.152198
3.028355,-4.318203,2.302283,0.210392,-3.863114,2.331759,0.456043,0.142513,-0.159195
3.061312,-4.312572,2.303479,0.205001,-3.863114,2.331759,0.450347,0.140733,-0.157307
3.095046,-4.309802,2.304055,0.202167,-3.856825,2.327510,0.453583,0.141745,-0.165201
3.128208,-4.304161,2.305205,0.195905,-3.850702,2.323120,0.453813,0.141816,-0.171636
3.161503,-4.301396,2.305754,0.192773,-3.850702,2.323120,0.451028,0.140946,-0.170332
