time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001787,-0.182156,-0.047680,-0.438393,0.018720,-0.018007,0.203056,0.075000,1.000000
0.021116,-0.182156,-0.047680,-0.438393,0.018720,-0.018007,0.203056,0.075000,1.000000
0.051750,-0.182124,-0.047695,-0.438123,0.018720,-0.018007,0.203026,0.075000,1.000000
0.085088,-0.181345,-0.048057,-0.426230,0.018720,-0.018007,0.202309,0.075000,1.000000
0.118531,-0.180516,-0.048434,-0.414126,0.018720,-0.018007,0.201545,0.075000,1.000000
0.151680,-0.178558,-0.049278,-0.386664,0.026102,-0.016964,0.207195,0.075000,1.000000
0.185209,-0.176269,-0.050190,-0.351758,0.026102,-0.016964,0.205080,0.075000,1.000000
0.218455,-0.174988,-0.050659,-0.331987,0.026102,-0.016964,0.203894,0.075000,1.000000
0.251740,-0.172126,-0.051612,-0.290433,0.026102,-0.016964,0.201233,0.075000,1.000000
0.285246,-0.168941,-0.052535,-0.246739,0.033478,-0.015927,0.205703,0.075000,1.000000
0.318602,-0.167459,-0.052908,-0.224554,0.033478,-0.015927,0.204312,0.075000,0.967764
0.351710,-0.164442,-0.053562,-0.181307,0.033478,-0.015927,0.201467,0.075000,0.895640
0.385187,-0.161494,-0.054071,-0.140591,0.040848,-0.014897,0.206099,0.075000,0.790335
0.418632,-0.159963,-0.054288,-0.121067,0.040848,-0.014897,0.204638,0.075000,0.756447
0.452000,-0.157062,-0.054614,-0.083370,0.040848,-0.014897,0.201856,0.075000,0.687925
0.484816,-0.153974,-0.054843,-0.046984,0.048211,-0.013873,0.206294,0.075000,0.592389
0.518576,-0.152635,-0.054906,-0.031459,0.048211,-0.013873,0.204994,0.075000,0.563147
0.551995,-0.149372,-0.054983,-0.001759,0.048211,-0.013873,0.201814,0.075000,0.508947
0.584980,-0.146131,-0.054966,0.024632,0.055567,-0.012855,0.206047,0.075000,0.437289
0.618319,-0.144548,-0.054927,0.036567,0.055567,-0.012855,0.204490,0.075000,0.415242
0.652007,-0.141587,-0.054802,0.058876,0.055567,-0.012855,0.201567,0.075000,0.372557
0.684800,-0.138721,-0.054618,0.080436,0.062916,-0.011845,0.206124,0.075000,0.311086
0.718590,-0.137523,-0.054522,0.089215,0.062916,-0.011845,0.204932,0.075000,0.293461
0.751912,-0.134865,-0.054272,0.107256,0.062916,-0.011845,0.202280,0.075000,0.256750
0.785284,-0.133523,-0.054127,0.114787,0.062916,-0.011845,0.200938,0.075000,0.241546
0.818337,-0.130645,-0.053786,0.127595,0.070257,-0.010841,0.205441,0.075000,0.201760
0.851636,-0.129181,-0.053598,0.133638,0.070257,-0.010841,0.203970,0.075000,0.189915
0.884998,-0.129181,-0.053598,0.133638,0.070257,-0.010841,0.203970,0.075000,0.189915
0.918341,-0.129181,-0.053598,0.133638,0.070257,-0.010841,0.203970,0.075000,0.189915
0.952074,-0.120666,-0.052333,0.164147,0.077592,-0.009845,0.202759,0.075000,0.115773
0.984819,-0.117502,-0.051803,0.171674,0.084918,-0.008857,0.206925,0.075000,0.090325
1.018352,-0.115984,-0.051540,0.175186,0.084918,-0.008857,0.205386,0.075000,0.083140
1.051981,-0.113063,-0.051019,0.181333,0.084918,-0.008857,0.202421,0.075000,0.070376
1.084792,-0.110087,-0.050469,0.187497,0.092236,-0.007876,0.206757,0.075000,0.048346
1.118371,-0.108640,-0.050194,0.189290,0.092236,-0.007876,0.205285,0.075000,0.044675
1.151674,-0.105464,-0.049585,0.190245,0.092236,-0.007876,0.202052,0.075000,0.043745
1.185145,-0.102485,-0.049010,0.192182,0.099546,-0.006903,0.206372,0.075000,0.032205
1.218706,-0.100807,-0.048683,0.191561,0.099546,-0.006903,0.204663,0.075000,0.034263
1.252038,-0.097709,-0.048083,0.191802,0.099546,-0.006903,0.201508,0.075000,0.034750
1.285194,-0.094860,-0.047528,0.193837,0.106848,-0.005939,0.205950,0.075000,0.023060
1.318565,-0.093484,-0.047258,0.195024,0.106848,-0.005939,0.204549,0.075000,0.020476
1.351928,-0.090835,-0.046733,0.197953,0.106848,-0.005939,0.201848,0.075000,0.013752
1.385170,-0.087874,-0.046138,0.198807,0.114141,-0.004982,0.206164,0.075000,0.005260
1.418641,-0.086267,-0.045814,0.198969,0.114141,-0.004982,0.204525,0.075000,0.004949
1.452120,-0.083290,-0.045214,0.200454,0.114141,-0.004982,0.201488,0.075000,0.001410
1.485248,-0.080391,-0.044624,0.201841,0.121425,-0.004035,0.205857,0.075000,-0.008186
1.518379,-0.078898,-0.044318,0.201868,0.121425,-0.004035,0.204333,0.075000,-0.008375
1.551529,-0.075835,-0.043692,0.200879,0.121425,-0.004035,0.201206,0.075000,-0.006171
1.585146,-0.072904,-0.043095,0.201218,0.128700,-0.003096,0.205533,0.075000,-0.013030
1.618655,-0.071396,-0.042787,0.201272,0.128700,-0.003096,0.203994,0.075000,-0.013360
1.651794,-0.068413,-0.042178,0.201736,0.128700,-0.003096,0.200950,0.075000,-0.014930
1.685206,-0.065414,-0.041564,0.201332,0.135965,-0.002166,0.205197,0.075000,-0.019808
1.718622,-0.063730,-0.041221,0.199682,0.135965,-0.002166,0.203479,0.075000,-0.016090
1.751974,-0.062354,-0.040942,0.200115,0.135965,-0.002166,0.202074,0.075000,-0.017385
1.785010,-0.059146,-0.040293,0.197352,0.143221,-0.001245,0.206100,0.075000,-0.016354
1.818356,-0.057624,-0.039988,0.196758,0.143221,-0.001245,0.204548,0.075000,-0.015152
1.851844,-0.054874,-0.039440,0.197605,0.143221,-0.001245,0.201743,0.075000,-0.017676
1.885326,-0.054874,-0.039440,0.197605,0.143221,-0.001245,0.201743,0.075000,-0.017676
1.924918,-0.053288,-0.039123,0.198523,0.143221,-0.001245,0.200126,0.075000,-0.020256
