index,local_x_m,local_y_m,ideal_x_m,ideal_y_m
0,0.000000,0.000000,-4.787543,2.201373
1,0.012566,0.007539,-4.784486,2.215705
2,0.025130,0.015073,-4.781427,2.230032
3,0.037690,0.022598,-4.778363,2.244350
4,0.050244,0.030109,-4.775294,2.258653
5,0.062791,0.037600,-4.772215,2.272938
6,0.075327,0.045068,-4.769127,2.287199
7,0.087851,0.052507,-4.766025,2.301432
8,0.100362,0.059913,-4.762909,2.315633
9,0.112856,0.067281,-4.759776,2.329796
10,0.125333,0.074607,-4.756624,2.343917
11,0.137790,0.081886,-4.753450,2.357991
12,0.150226,0.089112,-4.750254,2.372014
13,0.162637,0.096283,-4.747033,2.385982
14,0.175023,0.103393,-4.743785,2.399889
15,0.187381,0.110437,-4.740509,2.413731
16,0.199710,0.117412,-4.737201,2.427505
17,0.212007,0.124313,-4.733860,2.441204
18,0.224271,0.131135,-4.730485,2.454826
19,0.236499,0.137874,-4.727074,2.468365
20,0.248690,0.144526,-4.723624,2.481817
21,0.260842,0.151087,-4.720135,2.495179
22,0.272952,0.157552,-4.716603,2.508445
23,0.285019,0.163918,-4.713029,2.521612
24,0.297042,0.170181,-4.709409,2.534675
25,0.309017,0.176336,-4.705742,2.547631
26,0.320944,0.182379,-4.702028,2.560475
27,0.332820,0.188307,-4.698264,2.573204
28,0.344643,0.194117,-4.694448,2.585813
29,0.356412,0.199804,-4.690580,2.598298
30,0.368125,0.205364,-4.686659,2.610656
31,0.379779,0.210795,-4.682682,2.622884
32,0.391374,0.216093,-4.678648,2.634976
33,0.402906,0.221254,-4.674557,2.646930
34,0.414376,0.226275,-4.670407,2.658743
35,0.425779,0.231154,-4.666197,2.670410
36,0.437116,0.235887,-4.661926,2.681928
37,0.448383,0.240470,-4.657594,2.693295
38,0.459580,0.244902,-4.653198,2.704506
39,0.470704,0.249179,-4.648739,2.715558
40,0.481754,0.253298,-4.644216,2.726449
41,0.492727,0.257258,-4.639627,2.737174
42,0.503623,0.261055,-4.634973,2.747733
43,0.514440,0.264687,-4.630252,2.758120
44,0.525175,0.268152,-4.625464,2.768334
45,0.535827,0.271448,-4.620610,2.778372
46,0.546394,0.274572,-4.615687,2.788231
47,0.556876,0.277523,-4.610696,2.797909
48,0.567269,0.280299,-4.605638,2.807403
49,0.577573,0.282897,-4.600511,2.816711
50,0.587785,0.285317,-4.595315,2.825830
51,0.597905,0.287557,-4.590051,2.834758
52,0.607930,0.289614,-4.584718,2.843493
53,0.617860,0.291490,-4.579317,2.852034
54,0.627691,0.293180,-4.573849,2.860377
55,0.637424,0.294686,-4.568312,2.868522
56,0.647056,0.296006,-4.562708,2.876466
57,0.656586,0.297138,-4.557036,2.884208
58,0.666012,0.298083,-4.551298,2.891746
59,0.675333,0.298840,-4.545495,2.899079
60,0.684547,0.299408,-4.539626,2.906205
61,0.693653,0.299787,-4.533692,2.913122
62,0.702650,0.299976,-4.527695,2.919831
63,0.711536,0.299976,-4.521634,2.926330
64,0.720309,0.299787,-4.515512,2.932616
65,0.728969,0.299408,-4.509329,2.938691
66,0.737513,0.298840,-4.503086,2.944553
67,0.745941,0.298083,-4.496784,2.950200
68,0.754251,0.297138,-4.490425,2.955633
69,0.762443,0.296006,-4.484010,2.960851
70,0.770513,0.294686,-4.477541,2.965853
71,0.778462,0.293180,-4.471018,2.970640
72,0.786288,0.291490,-4.464444,2.975210
73,0.793990,0.289614,-4.457820,2.979564
74,0.801567,0.287557,-4.451147,2.983701
75,0.809017,0.285317,-4.444428,2.987622
76,0.816339,0.282897,-4.437665,2.991326
77,0.823533,0.280299,-4.430858,2.994815
78,0.830596,0.277523,-4.424011,2.998087
79,0.837528,0.274572,-4.417125,3.001145
80,0.844328,0.271448,-4.410203,3.003987
81,0.850994,0.268152,-4.403246,3.006614
82,0.857527,0.264687,-4.396256,3.009028
83,0.863923,0.261055,-4.389237,3.011229
84,0.870184,0.257258,-4.382191,3.013218
85,0.876307,0.253298,-4.375119,3.014995
86,0.882291,0.249179,-4.368024,3.016562
87,0.888136,0.244902,-4.360910,3.017920
88,0.893841,0.240470,-4.353778,3.019069
89,0.899405,0.235887,-4.346631,3.020012
90,0.904827,0.231154,-4.339472,3.020749
91,0.910106,0.226275,-4.332304,3.021283
92,0.915241,0.221254,-4.325129,3.021613
93,0.920232,0.216093,-4.317951,3.021743
94,0.925077,0.210795,-4.310772,3.021673
95,0.929776,0.205364,-4.303595,3.021406
96,0.934329,0.199804,-4.296424,3.020943
97,0.938734,0.194117,-4.289261,3.020286
98,0.942991,0.188307,-4.282109,3.019437
99,0.947098,0.182379,-4.274972,3.018397
100,0.951057,0.176336,-4.267852,3.017170
101,0.954865,0.170181,-4.260754,3.015757
102,0.958522,0.163918,-4.253680,3.014161
103,0.962028,0.157552,-4.246633,3.012383
104,0.965382,0.151087,-4.239617,3.010426
105,0.968583,0.144526,-4.232636,3.008293
106,0.971632,0.137874,-4.225692,3.005986
107,0.974527,0.131135,-4.218788,3.003506
108,0.977268,0.124313,-4.211930,3.000858
109,0.979855,0.117412,-4.205119,2.998044
110,0.982287,0.110437,-4.198359,2.995066
111,0.984564,0.103393,-4.191654,2.991926
112,0.986686,0.096283,-4.185008,2.988629
113,0.988652,0.089112,-4.178423,2.985176
114,0.990461,0.081886,-4.171903,2.981570
115,0.992115,0.074607,-4.165453,2.977815
116,0.993611,0.067281,-4.159075,2.973913
