time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001311,-4.588195,2.868837,2.922667,-5.029537,2.740368,0.459660,0.143644,0.523586
0.033163,-4.588195,2.868837,2.922667,-5.029537,2.740368,0.459660,0.143644,0.523586
0.066558,-4.588662,2.868941,2.924175,-5.029537,2.740368,0.459240,0.143513,0.523105
0.100052,-4.589814,2.869195,2.928818,-5.029537,2.740368,0.458206,0.143189,0.521022
0.133399,-4.593326,2.869940,2.943891,-5.029537,2.740368,0.455049,0.142203,0.513662
0.166614,-4.597983,2.870850,2.963027,-5.029537,2.740368,0.450849,0.140890,0.504416
0.200182,-4.600638,2.871330,2.973116,-5.041823,2.737957,0.460903,0.144032,0.483596
0.233524,-4.606601,2.872312,2.993773,-5.041823,2.737957,0.455488,0.142340,0.474745
0.266615,-4.612874,2.873215,3.013279,-5.054014,2.735671,0.462085,0.144402,0.451619
0.299977,-4.615999,2.873618,3.022603,-5.054014,2.735671,0.459223,0.143507,0.448033
0.333123,-4.622035,2.874309,3.042550,-5.054014,2.735671,0.453681,0.141775,0.438895
