time,x,y,z,yaw,linear_velocity,angular_velocity
0.0,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.01408702,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.033974902,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.054091537,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.074135203,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.094039908,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.114068834,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.134435889,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.154057778,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.173972796,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.19406641,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.214068513,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.233975406,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.254081624,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.274079612,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.294032131,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.314038035,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.334154566,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.354028803,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.373975904,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.394107852,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.414058964,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.433986326,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
0.453970095,-1.4218610618888938,-1.7735095945812778,0.0,-1.3070469261309703,0.0,0.0
