time,x,z
0.842,-1.896800000000115e-05,1.7180999999977242e-05
0.85,2.182599999999736e-05,1.2710999999970829e-05
0.858,8.55399999999916e-06,-2.3270000000019664e-05
0.867,1.861799999999976e-05,-9.094000000015035e-06
0.875,-3.9497000000001184e-05,1.0253999999987329e-05
0.883,-5.279500000000305e-05,1.2527999999983885e-05
0.892,-6.773000000001583e-06,2.028999999986736e-06
0.9,8.732999999998617e-06,7.445999999966535e-06
0.908,4.5836999999998226e-05,5.53899999999885e-06
0.917,2.1130999999997152e-05,1.707500000000528e-05
0.925,-8.532000000002066e-06,2.311699999996142e-05
0.933,-1.2170000000002318e-05,2.7769999999815997e-06
0.942,-1.4268000000001307e-05,-4.089000000040421e-06
0.95,6.96299999999872e-06,1.6433999999981852e-05
0.958,2.3160999999998974e-05,2.569599999996397e-05
0.967,1.8495999999998056e-05,3.3202999999981664e-05
0.975,-3.521300000000095e-05,3.587299999996407e-05
0.983,2.3831999999997938e-05,2.4413999999972624e-05
0.992,1.1814999999998355e-05,3.554999999960673e-06
1.0,-1.7414999999999792e-05,-4.7300000000083386e-07
1.008,1.3577999999998466e-05,-3.0520000000033853e-06
1.017,-1.5812000000000465e-05,1.208499999996726e-05
1.025,2.1421999999998373e-05,-6.592000000027465e-06
1.033,2.2680999999998355e-05,-2.7310000000335677e-06
1.042,1.5032999999997632e-05,5.416999999979799e-06
1.05,1.2538999999997177e-05,3.325999999970186e-06
1.058,6.413999999997991e-06,2.2674999999972023e-05
1.067,-1.1766000000001595e-05,1.632699999998266e-05
1.075,4.188599999999966e-05,2.6047000000001264e-05
1.083,2.7540999999998983e-05,5.489999999608308e-07
1.092,1.744699999999856e-05,6.713999999963249e-06
1.1,7.656999999999456e-06,1.4541999999978517e-05
1.108,-1.1239000000001428e-05,1.797499999997565e-05
1.117,5.3968999999997463e-05,5.5114999999994474e-05
1.125,5.978299999999902e-05,3.158999999974821e-06
1.133,4.5570999999997724e-05,1.2389999999973256e-05
1.142,7.783999999998528e-06,1.4815999999973073e-05
1.15,-3.457700000000091e-05,3.7539999999669504e-06
1.158,-1.7751000000001613e-05,1.2511999999964551e-05
1.167,1.422099999999829e-05,3.2199999999982243e-06
1.175,3.516499999999846e-05,3.63309999999728e-05
1.183,2.9676999999998788e-05,2.1773999999974425e-05
1.192,8.807999999999039e-06,2.9586999999969832e-05
1.2,2.096799999999968e-05,1.1504999999994991e-05
1.208,2.3205999999999574e-05,3.6224000000001366e-05
1.217,6.987999999999786e-05,2.0081000000005123e-05
1.225,2.2727999999997903e-05,2.3894999999968247e-05
1.233,-1.933600000000174e-05,1.707500000000528e-05
1.242,9.325999999998738e-06,3.6666999999990235e-05
1.25,1.1178999999998315e-05,1.8325999999985187e-05
1.258,4.118099999999951e-05,3.820799999998403e-05
1.267,6.283699999999962e-05,2.5573999999972674e-05
1.275,2.7023999999998757e-05,1.5136999999970646e-05
1.283,-8.079000000001113e-06,3.3752999999969724e-05
1.292,-1.122400000000065e-05,2.9312000000003557e-05
1.3,2.2399999999971054e-06,1.4649999999782892e-06
1.308,5.252999999998467e-06,-1.3700000001115598e-07
1.317,3.671699999999861e-05,7.0649999999727875e-06
1.325,3.874999999998671e-06,9.963999999973439e-06
1.333,-6.196000000001714e-06,-4.669000000012691e-06
1.342,-1.5330000000014776e-06,-3.0520000000033853e-06
1.35,6.810999999998929e-06,1.2969999999834503e-06
1.358,2.3792999999999384e-05,2.1422999999992642e-05
1.367,8.559999999997736e-06,8.132999999965751e-06
1.375,1.2281999999998877e-05,4.806999999995565e-06
1.383,-2.394900000000054e-05,2.9759999999878772e-06
1.392,-6.835000000001909e-06,1.2755999999974899e-05
1.4,8.785999999998476e-06,1.4663999999969812e-05
1.408,-6.308000000001743e-06,2.4276999999961468e-05
1.417,3.0393999999997826e-05,8.224999999972837e-06
1.425,3.0669999999989594e-06,2.4810999999985706e-05
1.433,-5.492000000001038e-06,3.877299999999195e-05
1.442,-4.304000000001848e-06,3.706399999997556e-05
