time,x,y,yaw,linear_velocity,angular_velocity
0.0,0.0,0.0,0.0,0.0,0.0
0.00021958351135253906,0.0,0.0,0.0,0.0,0.0
0.0003924369812011719,0.0,0.0,0.0,0.0,0.0
0.000850677490234375,0.0,0.0,0.0,0.0,0.0
0.024976491928100586,0.0,0.0,0.0,-0.0,-0.0
0.056903839111328125,0.0,0.0,0.0,-0.0,-0.0
0.09178471565246582,0.003483278229832575,0.0,0.0,0.17416391149163246,-0.0
0.11902928352355957,0.018483227126652384,3.3908978457014855e-05,0.004521204829216107,0.75,0.22606024146080017
0.15666604042053223,0.033482869405641824,0.00013563522068615544,0.009042409658432015,0.75,0.22606024146080017
0.18002033233642578,0.0484819426335351,0.0003014616835638121,0.013068250715732675,0.75,0.20129205286502838
0.20688724517822266,0.06348034131159158,0.0005202409574395022,0.016103364676237145,0.75,0.1517556980252266
0.23935198783874512,0.07847820339255822,0.000773397055938525,0.01765238776803024,0.75,0.07745115458965302
0.2663612365722656,0.09347579171259274,0.0010423556744795586,0.018210683707147898,0.75,0.027914796955883503
0.29389476776123047,0.10847329595908349,0.0013159727467303766,0.01827361608389771,0.75,0.003146618837490678
0.32578134536743164,0.1234707915909384,0.001590061733198376,0.01827361608389771,0.75,-0.0
0.35852718353271484,0.13846828722279267,0.001864150719666363,0.01827361608389771,0.75,-0.0
0.3823213577270508,0.1534657828546476,0.002138239706134362,0.01827361608389771,0.75,-0.0
0.4044458866119385,0.16846327848650186,0.002412328692602349,0.01827361608389771,0.75,-0.0
0.4318389892578125,0.1834607741183568,0.0026864176790703485,0.01827361608389771,0.75,-0.0
0.4629185199737549,0.19845826975021105,0.0029605066655383357,0.01827361608389771,0.75,-0.0
0.4850287437438965,0.21345576538206598,0.003234595652006335,0.01827361608389771,0.75,-0.0
0.5129485130310059,0.22845326101392024,0.0035086846384743222,0.01827361608389771,0.75,-0.0
0.5402636528015137,0.2434508980149576,0.0037748869017933968,0.017221884042955972,0.75,-0.05258660204708576
0.566849946975708,0.2584490423823444,0.0040104564901396605,0.01418869769666354,0.75,-0.1516593173146248
0.6002669334411621,0.2734480032690826,0.004185672983036117,0.009174057156778858,0.75,-0.25073202699422836
0.6276555061340332,0.288447713682233,0.004274527678710031,0.002673325748182958,0.75,-0.32503657042980194
0.6600511074066162,0.30344766074427076,0.004254726452880756,-0.005313496976159573,0.75,-0.3993411362171173
0.6873235702514648,0.3184469311080081,0.004111410216448701,-0.0137956825783475,0.75,-0.4241092801094055
0.7207295894622803,0.3334443734032586,0.0038371595604106508,-0.022773231952451255,0.75,-0.4488774687051773
0.7480251789093018,0.34843885548231907,0.0034319951877800946,-0.03125541755463919,0.75,-0.4241092801094055
0.7795577049255371,0.3634292238074036,0.0028959482681843126,-0.04023296692874294,0.75,-0.4488774687051773
0.8026413917541504,0.37841417572869385,0.002225347986119436,-0.0492105163028463,0.75,-0.4488774687051773
0.8346631526947021,0.3933925035212321,0.0014202483891860912,-0.05818806567695005,0.75,-0.4488774687051773
0.8625328540802002,0.40762189634345924,0.0005272253205561769,-0.0671656150510534,0.712871789932251,-0.4488774687051773
0.8974061012268066,0.4191241440992754,-0.00031269383479947863,-0.07861998239066473,0.5766468197107315,-0.5727183669805527
0.9251651763916016,0.4285169966390922,-0.001120898711192733,-0.09304653146769844,0.4713820517063141,-0.7213274538516998
0.9621734619140625,0.4364137905729051,-0.0019607605917679486,-0.1188664428284397,0.3970775306224823,-1.290995568037033
0.9908826351165771,0.4448944978414243,-0.003125468309757627,-0.15409826317336386,0.42803773283958435,-1.7615910172462463
1.0234355926513672,0.4545385322040516,-0.0048570697148114985,-0.20121881046797954,0.48995818197727203,-2.356027364730835
1.0546226501464844,0.4623956613840794,-0.00667403614726485,-0.2532929936936102,0.40326958894729614,-2.6037091612815857
1.0809924602508545,0.4675251836957087,-0.008159092638490135,-0.3103208092739821,0.2670445740222931,-2.851390779018402
1.110306739807129,0.47150959632327066,-0.009566633728941072,-0.36883471885230423,0.21131618320941925,-2.925695478916168
1.1449673175811768,0.4746052316000939,-0.010870294512931604,-0.42833935418631786,0.16797186434268951,-2.9752317667007446
1.1712193489074707,0.47706227226965475,-0.012082554604290268,-0.4883393541863166,0.13701163977384567,-3.0
1.1941845417022705,0.4789044125730477,-0.013133235670567919,-0.5483393541863206,0.10605141520500183,-3.0
1.2257611751556396,0.4802654938378346,-0.014021746192701749,-0.6083393541863193,0.08128323778510094,-3.0
1.2528316974639893,0.4809742071216215,-0.014547587204217083,-0.6683393541863181,0.04413096886128187,-3.0
1.284764289855957,0.4811759292054851,-0.014716923524141667,-0.7283393541863167,0.01317074429243803,-3.0
1.3124454021453857,0.4811873493892897,-0.01472774181441394,-0.788339354186321,0.0007866547093726695,-3.0
1.3412976264953613,0.4811873493892897,-0.01472774181441394,-0.8483393541863194,-0.0,-3.0
1.3700480461120605,0.4811973923649864,-0.014739849441832318,-0.9083393541863184,0.0007866547093726695,-3.0
1.4032998085021973,0.4811973923649864,-0.014739849441832318,-0.968339354186317,-0.0,-3.0
1.431272268295288,0.4811973923649864,-0.014739849441832318,-1.0283393541863213,-0.0,-3.0
1.4605259895324707,0.4816300934571718,-0.015508974303495874,-1.0883393541863198,0.04413096886128187,-3.0
1.4880993366241455,0.48234068943562963,-0.01697083835760484,-1.1483393541863185,0.08128323778510094,-3.0
1.5153911113739014,0.4829623474993894,-0.01847268202758479,-1.2083393541863172,0.08128323778510094,-3.0
1.5439412593841553,0.4834928303507317,-0.02000910029802047,-1.2683393541863213,0.08128323778510094,-3.0
1.571336269378662,0.4839635492485369,-0.02169381860921957,-1.32833935418632,0.08747528493404388,-3.0
1.594813346862793,0.4845151648054477,-0.0242509993219805,-1.3883393541863187,0.13081959262490273,-3.0
1.61781644821167,0.4850826043562274,-0.027937999079318248,-1.4478439895203323,0.18654799461364746,-2.9752317667007446
1.646251916885376,0.4861540344447927,-0.03854920856663471,-1.4924877170613051,0.5333025008440018,-2.2321863770484924
1.6693572998046875,0.48707417410340054,-0.05265241168321949,-1.5188029912998913,0.7066797763109207,-1.3157637119293213
1.696382999420166,0.4877270847556254,-0.06763801645612237,-1.5357063583424322,0.75,-0.8451683521270752
1.7282240390777588,0.4881600331392373,-0.08263167017043958,-1.5481514532258738,0.75,-0.6222547441720963
1.7512211799621582,0.4884509320073704,-0.09762882274964046,-1.5546521846344696,0.75,-0.32503657042980194
1.7739567756652832,0.48868148182067694,-0.11262704937499199,-1.5561992803355682,0.75,-0.0773547850549221
1.8024101257324219,0.4889004297420306,-0.1276254513501267,-1.5561992803355682,0.75,-0.0
1.829965353012085,0.48913099400900156,-0.14262367774955992,-1.5546502572437755,0.75,0.07745115458965302
1.8569092750549316,0.48946279345362664,-0.1576199183068144,-1.542698598518037,0.75,0.5975829362869263
1.8817486763000488,0.4900248210422304,-0.17248570575085384,-1.5233164858957746,0.7438320368528366,0.9691056311130524
1.914626121520996,0.4908676710210426,-0.1867178822447566,-1.4999714648863298,0.712871789932251,1.1672510504722595
1.9412834644317627,0.4920462984672739,-0.20067754901079124,-1.473158898367547,0.7004877179861069,1.3406283259391785
1.9674952030181885,0.4935850287933513,-0.21447752519952573,-1.4463463318487635,0.694295659661293,1.3406283259391785
1.990647792816162,0.49549317449195807,-0.22823128882331067,-1.4195337653299784,0.694295659661293,1.3406283259391785
2.0185961723327637,0.49776936385314635,-0.2419289527050842,-1.3927211988111956,0.694295659661293,1.3406283259391785
2.0477828979492188,0.5004119605911802,-0.2555606699962461,-1.3659086322924123,0.694295659661293,1.3406283259391785
2.0807738304138184,0.5034190650208127,-0.2691166412552638,-1.3390960657736295,0.694295659661293,1.3406283259391785
2.106780767440796,0.5067885154229143,-0.28258712149220555,-1.312283499254844,0.694295659661293,1.3406283259391785
2.136932373046875,0.5105178895984681,-0.29596242717412335,-1.2854709327360607,0.694295659661293,1.3406283259391785
2.167834758758545,0.5143494911779044,-0.30827460800886364,-1.2527140045305718,0.644759327173233,1.6378464102745056
2.1923365592956543,0.5183610630908773,-0.3197447970859116,-1.2159941661497589,0.6076070666313171,1.83599191904068
2.219404458999634,0.5224503909875499,-0.33012927463221564,-1.1753114211698976,0.5580706894397736,2.03413724899292
2.246596097946167,0.526722861378235,-0.33976600301991267,-1.1316564917704082,0.5271104872226715,2.182746469974518
2.2782678604125977,0.5312003696204132,-0.3487589734136875,-1.0860201108595358,0.5023422986268997,2.2818190455436707
2.3052234649658203,0.5360254276004772,-0.3574288856778441,-1.0398883652826783,0.4961502403020859,2.306587278842926
2.333207130432129,0.5411189375916524,-0.3656538912826153,-0.9927658939501252,0.4837661683559418,2.3561235666275024
2.367997884750366,0.5461809930276104,-0.3730122295181214,-0.9436619675299142,0.4466138631105423,2.4551963210105896
2.4004251956939697,0.551449613492825,-0.37991501027370794,-0.8940626764437184,0.4342297911643982,2.479964554309845
2.4277894496917725,0.5570539873183092,-0.38654808933176243,-0.8444633853575225,0.4342297911643982,2.479964554309845
2.4553890228271484,0.5629803300681333,-0.3928951520680037,-0.7948640942713266,0.4342297911643982,2.479964554309845
2.4869284629821777,0.5692140653963084,-0.3989405873397148,-0.7452648031851264,0.4342297911643982,2.479964554309845
2.5107192993164062,0.5757398608985521,-0.4046695258826798,-0.6956655120989306,0.4342297911643982,2.479964554309845
2.542050838470459,0.5826386586455773,-0.41014485664144357,-0.6460662210127347,0.44042184948921204,2.479964554309845
2.5696847438812256,0.5900998858282265,-0.41549136534971076,-0.5974576556822304,0.45899797976017,2.4304282665252686
2.6014187335968018,0.5985310223087151,-0.42095377437930603,-0.5523166358610604,0.5023422986268997,2.2570509910583496
2.6306965351104736,0.6080426217726963,-0.42655204937906155,-0.5116338908812028,0.5518786311149597,2.03413724899292
2.663860559463501,0.6184209875542858,-0.4321248434925311,-0.47392332674469845,0.5890308916568756,1.8855282068252563
2.692615270614624,0.629441719116892,-0.4375310592967787,-0.4381942176958559,0.6137990802526474,1.7864554524421692
2.7291080951690674,0.6408683900363477,-0.44265540303725376,-0.40494192482437846,0.6261831969022751,1.662614643573761
2.7562129497528076,0.652799372169017,-0.44754657045148755,-0.3731757223745805,0.644759327173233,1.5883101224899292
2.789013147354126,0.6651094660413904,-0.45214906266222,-0.34240024925675283,0.6571433991193771,1.5387736558914185
2.813481569290161,0.6775553522630056,-0.456370586303645,-0.3116247761389251,0.6571433991193771,1.5387736558914185
